Total Daily Sunspots,Northern Total Daily Sunspots,Southern Total Daily Sunspots,Earthquake,Magnitude,Longitude,Latitude,OutagesCount,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp,Year,Month
2.212132359,1.076356391,2.991962615,-1.760718047,0.7634824618,-118.044,36.181,0,1.534374778,-1.487519845,-1.128492332,-1.277594155,0.8313243756,-2.946961768,1.205094211,4.518988601,-0.4006269045,1992,1
2.517831733,1.904234406,2.741265699,-1.480845857,0.2133455378,23.491,40.592,0,1.660790847,-1.406645871,-1.413139579,-1.370631176,0.857259153,-2.757168927,0.9569935089,4.556086676,-0.5009295981,1992,2
1.388317503,0.8210589829,1.735395698,-1.396224307,0.4904181302,-118.326,35.595,0,1.787206915,-1.31193819,-1.291587511,-1.486398834,0.8807625451,-2.688121646,1.785987584,4.333498225,-0.820644434,1992,3
1.156233236,0.05411615218,2.061096199,0.05282269437,0.9650165026,-115.6821667,33.9608333,0,2.078695206,-1.186370704,-1.247992888,-1.534503203,0.870342322,-2.655428805,1.393442912,4.19185103,-1.240661963,1992,4
0.4009759609,-0.1339424323,0.8641211726,-0.1098214775,0.5846604353,-116.265,33.894,0,1.931383919,-1.127843486,-1.697273948,-1.567541918,0.9007925295,-2.532067818,0.9315339604,4.168243164,-1.284544392,1992,5
0.4195202244,0.9744475491,-0.1859290223,-0.31749363,1.158834561,-116.307,33.998,0,1.496763386,-1.152318505,-1.757793543,-1.565163131,0.9429365428,-2.455784522,0.6197843866,3.783772204,-1.32842682,1992,6
0.7482594403,0.6603161705,0.7223335729,3.049124275,0.8903536291,-116.849,34.2283333,0,0.6943870155,-1.41515892,-2.117833844,-1.487191763,0.9972374831,-2.406091403,-0.004753926303,3.65898777,-2.118310532,1992,7
0.359391855,0.4092211889,0.2569003652,0.9541586538,0.04186303822,-118.958,34.832,0,0.2660350472,-1.62160038,-2.663023076,-1.408427466,1.046907213,-2.272181525,-0.07333883254,3.365575722,-2.112041614,1992,8
0.3425334336,-0.0288817706,0.6545221122,0.1979991151,0.1072150377,-116.378,34.101,0,0.2409607856,-1.832298365,-2.451204494,-1.343935895,1.114638663,-2.157712991,0.2669877855,3.038438151,-2.456832123,1992,9
1.081494235,0.7086440749,1.28434674,-0.546127084,0.3230339018,-116.462,34.394,0,0.4049882467,-1.791861378,-1.888064535,-1.337856771,1.145667772,-2.149517985,-0.3598886491,2.815849701,-2.519521307,1992,10
0.942693233,-0.1118796934,1.833003104,-0.7774777437,0.7123330377,-87.782,12.21,0,0.3349892665,-1.68970478,-1.142852914,-1.347371921,1.159677183,-2.138794733,0.1926874704,2.613496565,-2.676244265,1992,11
0.8831268109,-0.04464086986,1.65833722,-0.9676821451,0.8621470284,-116.2,33.802,0,0.3788692242,-1.555624244,-0.9874509034,-1.327020072,1.179475607,-2.092763213,0.5865310987,2.19192753,-2.024276757,1992,12
0.1761970098,-0.4007965132,0.7141140019,-1.358183426,0.7098243988,-116.353,34.109,0,0.4363310736,-1.414094789,-1.525972722,-1.299531862,1.195221722,-2.095640183,0.6332935348,2.023299916,-0.7892998422,1993,1
0.7690514933,0.8147553432,0.6093144717,-1.561973857,1.090756654,-120.2588333,36.1678333,0,0.7497593432,-1.370465408,-1.637780109,-1.313540277,1.151341004,-2.090845233,-0.4162633637,1.746750629,-1.058863331,1993,2
0.5425867001,0.5542049021,0.4500602837,-1.107424154,1.038023175,-116.943,34.946,0,0.7288641252,-1.254475104,-1.519305309,-1.360323097,1.074926035,-2.096860715,0.3903886585,1.568005359,-0.8018376789,1993,3
