Year,Month,Total Daily Sunspots,Northern Total Daily Sunspots,Southern Total Daily Sunspots,Earthquake,Magnitude,Longitude,Latitude,OutagesCount,None,D0,D1,D2,D3,D4,Solar Flare Value
2000,1,1.076998656,0.7748322918,1.211398047,-0.8457960593,0.3289509561,-116.355,34.692,-0.8067081867,47.7125,0.7516394213,-0.5689179273,-0.8400253547,-1.230324185,-0.7023680034,-0.05947937721
2000,2,1.457998978,0.7117958947,1.969653472,-1.2033027,0.5426305689,151.907,-4.358,0,49.242,0.6041301774,-0.1116010532,-0.697686095,-1.230324185,-0.7023680034,0.779187297
2000,3,2.551548575,1.649987604,3.051554504,-1.018920882,0.6789812711,-117.595,36.08,-0.8067081867,58.97,-0.3340652622,-0.1858463435,-0.3721001838,-1.230324185,-0.7023680034,1.912672914
2000,4,1.986791461,1.684657622,1.985065167,-0.8916003846,0.3340066897,-118.8233,38.0899,-0.8067081867,61.3375,-0.5623935623,-0.5030589908,-0.4554727944,-1.171693487,-0.7023680034,1.288000949
2000,5,1.648499139,1.670999736,1.379899253,-0.7010078109,0.375457087,-115.984,31.72,-0.2492269195,63.694,-0.7896609917,-0.5336668131,-0.4590500275,-0.7563611862,-0.6801224135,1.427727509
2000,6,1.928348933,2.779389718,0.807611622,-0.8423025091,0.7744876575,15.101,46.433,-0.6952119333,64.2475,-0.8430420747,-0.732617658,-0.5027845873,-0.282303622,-0.1601317497,3.730449894
2000,7,3.014593214,3.237454203,2.345698845,-0.9432272935,1.123706842,-116.2976667,34.7238333,-0.9182044402,56.645,-0.1098357806,-0.8887365038,-0.9614781889,-0.4520489497,0.1015067224,6.543215198
2000,8,1.901937407,2.185796979,1.339828844,-1.020861743,0.8334873616,-118.22,37.8478,-0.4722194264,56.596,-0.105110084,-0.3627178614,-0.561289658,-0.4045769974,0.2592481781,0.5666267316
2000,9,1.388879451,1.625823652,0.9493992217,-0.8947057625,-0.1409328844,-100.753,-36.136,0,51.8975,0.3480263544,0.4526062962,0.4630683549,0.0439478434,0.005446220604,1.303264334
2000,10,1.224790817,0.8179071631,1.439491142,-1.03755315,0.1384533097,136.589,-3.966,0,49.134,0.6145459984,0.5725737978,0.264012641,-0.06943636155,-0.1472394192,0.1861689292
2000,11,1.423720188,1.828590729,0.8148037467,-0.8842251119,1.520588314,-122.8065,38.8118333,0,67.8625,-1.191682753,-1.109529773,-0.7370356593,-0.5716744871,-0.5216225855,0.9853966551
2000,12,1.254574028,1.684657622,0.6463025412,-0.777865916,0.001600296764,-114.98,36.051,-1.029700694,73.985,-1.782153721,-1.292181715,-0.9955196008,-1.081856126,-0.5924040079,0.120710519
2001,1,1.242773133,1.551230582,0.7552118569,-0.7545755811,-0.4205063485,-118.45,34.281,-0.9182044402,70.888,-1.483470407,-1.481087888,-1.230347646,-1.047623364,-0.5587828323,0.1298275745
